event_id,game,app_id,decline_start,decline_end,baseline_avg_ccu,trough_avg_ccu,decline_fraction,decline_percent,source
1237950-2024-06-01,STAR WARS Battlefront II,1237950,2024-05-01,2024-06-01,2025.84,1018.4,0.4973,49.73,steamcharts_monthly
1237950-2025-08-01,STAR WARS Battlefront II,1237950,2025-07-01,2025-08-01,10894.17,3856.47,0.646,64.6,steamcharts_monthly
1237950-2025-09-01,STAR WARS Battlefront II,1237950,2025-08-01,2025-09-01,3856.47,1868.2,0.5156,51.56,steamcharts_monthly
1237950-2025-10-01,STAR WARS Battlefront II,1237950,2025-09-01,2025-10-01,1868.2,1282.07,0.3137,31.37,steamcharts_monthly
1517290-2021-12-01,Battlefield 2042,1517290,2021-11-01,2021-12-01,51299.36,20075.16,0.6087,60.87,steamcharts_monthly
1517290-2022-01-01,Battlefield 2042,1517290,2021-12-01,2022-01-01,20075.16,7833.31,0.6098,60.98,steamcharts_monthly
1517290-2022-02-01,Battlefield 2042,1517290,2022-01-01,2022-02-01,7833.31,3008.6,0.6159,61.59,steamcharts_monthly
1517290-2022-03-01,Battlefield 2042,1517290,2022-02-01,2022-03-01,3008.6,2003.52,0.3341,33.41,steamcharts_monthly
1517290-2023-01-01,Battlefield 2042,1517290,2022-12-01,2023-01-01,10159.26,6904.07,0.3204,32.04,steamcharts_monthly
1517290-2024-12-01,Battlefield 2042,1517290,2024-11-01,2024-12-01,13817.87,9203.39,0.334,33.4,steamcharts_monthly
1517290-2025-10-01,Battlefield 2042,1517290,2025-09-01,2025-10-01,21077.33,5093.87,0.7583,75.83,steamcharts_monthly
1517290-2025-11-01,Battlefield 2042,1517290,2025-10-01,2025-11-01,5093.87,1949.14,0.6174,61.74,steamcharts_monthly
1517290-2025-12-01,Battlefield 2042,1517290,2025-11-01,2025-12-01,1949.14,1362.23,0.3011,30.11,steamcharts_monthly
